;MUNICIPIO;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ
0;Arapiraca;37.5;58.0;57.0;58.5;155.0;350.0;172.5;72.0;77.5;7.5;0.0;23.0
1;Atalaia;113.0;14.5;118.0;170.0;323.5;329.5;262.5;91.0;122.0;20.5;0.0;59.0
2;Barra de São Antônio;83.2;46.4;126.7;235.9;350.4;345.8;266.9;188.0;53.2;55.8;16.8;80.4
3;Barra de São Miguel;121.6;59.7;79.3;335.7;231.3;357.2;242.1;87.0;96.2;51.8;29.6;55.0
4;Batalha;20.2;10.1;26.2;41.5;54.8;128.8;45.0;26.2;22.0;0.2;0.0;3.8
5;Belo Monte;56.4;20.7;73.0;31.0;93.7;132.9;102.0;47.3;23.0;0.0;0.0;7.2
6;Campestre;183.2;84.2;137.4;262.2;273.2;339.0;236.0;147.0;85.0;22.2;8.7;73.2
7;Capela;111.5;43.5;158.0;169.0;302.0;359.5;239.5;116.0;87.0;23.5;2.0;73.5
8;Chã Preta;98.0;27.8;95.8;151.8;209.2;326.4;206.4;115.5;102.6;35.7;5.5;54.4
9;Colônia Leopoldina;200.8;75.0;104.4;195.0;261.2;346.6;250.6;132.2;102.2;22.2;26.4;120.4
10;Coqueiro Seco;124.0;13.6;113.8;238.8;401.1;338.8;269.0;125.0;102.6;51.0;16.2;97.4
11;Coruripe;98.8;50.0;117.8;216.8;486.6;353.2;262.2;124.8;86.4;21.8;23.6;48.8
12;Craíbas;49.8;10.6;20.0;21.0;70.8;149.4;104.6;37.8;33.8;3.0;2.6;7.0
13;Delmiro Gouveia ;22.3;1.0;83.8;23.8;23.4;156.0;25.4;17.0;16.0;0.0;0.5;8.0
14;Dois Riachos;25.5;9.2;28.9;115.7;52.2;201.0;48.3;11.7;28.8;0.6;1.2;11.4
15;Estrela de Alagoas;22.8;13.0;107.8;34.2;126.8;142.2;62.6;40.6;26.6;0.2;28.0;12.4
16;Feliz Deserto;52.0;49.0;113.4;159.2;315.2;424.2;270.0;130.0;93.2;53.0;21.2;32.6
17;Ibateguara;57.5;54.0;88.9;210.1;345.4;198.8;188.6;114.8;78.6;22.2;9.4;47.6
18;Igreja Nova;96.5;32.0;116.0;101.0;340.6;401.5;342.5;70.4;74.8;11.4;31.8;62.8
19;Inhapi;28.2;8.8;26.7;100.1;43.2;152.3;49.2;36.6;9.8;0.4;0.0;23.4
20;Jacuípe;27.6;7.0;112.0;81.0;46.0;260.0;277.0;112.0;93.8;0.8;16.0;63.8
21;Japaratinga;29.3;8.9;25.5;42.0;50.0;324.0;246.0;101.0;87.0;28.2;6.2;64.8
22;Jaramataia;26.6;9.8;105.0;41.4;49.4;170.2;98.8;23.6;24.2;0.6;1.0;11.8
23;Jequiá da Praia;109.0;104.0;30.3;20.0;189.0;289.0;294.0;114.0;70.6;29.6;32.4;25.2
